cust_id,similar_customers
C0001,"[('C0137', 0.979), ('C0191', 0.9706), ('C0011', 0.9489)]"
C0002,"[('C0043', 0.9751), ('C0142', 0.9699), ('C0027', 0.9624)]"
C0003,"[('C0190', 0.9415), ('C0174', 0.8949), ('C0025', 0.8367)]"
C0004,"[('C0113', 0.9864), ('C0165', 0.9838), ('C0012', 0.9647)]"
C0005,"[('C0128', 0.996), ('C0123', 0.9931), ('C0140', 0.9909)]"
C0006,"[('C0168', 0.9339), ('C0048', 0.9243), ('C0158', 0.915)]"
C0007,"[('C0078', 0.9875), ('C0092', 0.9831), ('C0146', 0.9715)]"
C0008,"[('C0109', 0.9295), ('C0084', 0.9265), ('C0090', 0.9174)]"
C0009,"[('C0061', 0.9684), ('C0198', 0.9364), ('C0167', 0.935)]"
C0010,"[('C0121', 0.9711), ('C0111', 0.9349), ('C0060', 0.9034)]"
C0011,"[('C0107', 0.9758), ('C0001', 0.9489), ('C0137', 0.9307)]"
C0012,"[('C0102', 0.978), ('C0153', 0.9717), ('C0108', 0.9657)]"
C0013,"[('C0104', 0.9885), ('C0188', 0.9869), ('C0099', 0.9839)]"
C0014,"[('C0063', 0.9875), ('C0062', 0.9684), ('C0097', 0.9589)]"
C0015,"[('C0058', 0.9949), ('C0131', 0.9792), ('C0020', 0.959)]"
C0016,"[('C0079', 0.9337), ('C0185', 0.895), ('C0050', 0.8946)]"
C0017,"[('C0075', 0.9748), ('C0124', 0.9637), ('C0041', 0.9187)]"
C0018,"[('C0046', 0.8398), ('C0068', 0.8213), ('C0122', 0.7907)]"
C0019,"[('C0172', 0.9585), ('C0086', 0.887), ('C0119', 0.8606)]"
C0020,"[('C0131', 0.9636), ('C0015', 0.959), ('C0058', 0.9433)]"
